GCN Name,Fermi Name,Enclosed Probability,TESS Sector,Trigger,Details,RA,Declination,Error Radius (arcmin),Localization Source,Alt. Local. Cam,Alt. Local. CCD,Alt. Local. Col,Alt. Local. Row,LC,Result
GRB 251009A,GRB251009666,0.15669,97,2025-10-09 15:56:39.645,<a href=yr25/GRB251009666.html>details</a>,72.05,-25.84,1513.1999999999998,"Fermi, GBM              ",,,,,,unexamined
GRB 251006B,GRB251006837,0.00000,97,2025-10-06 20:02:50.982,<a href=yr25/GRB251006837.html>details</a>,40.505,-5.989,2.4,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 251006A,GRB251006561,0.00000,97,2025-10-06 13:25:18.450,<a href=yr25/GRB251006561.html>details</a>,269.13,-16.56,720.0,"Fermi, GBM              ",,,,,,
GRB 251005C,GRB251005671,0.00000,97,2025-10-05 16:04:34.867,<a href=yr25/GRB251005671.html>details</a>,75.673,16.882,3.0,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 251005B,GRB251005602,0.00000,97,2025-10-05 14:25:03.958,<a href=yr25/GRB251005602.html>details</a>,298.62,-8.92,390.0,"Fermi, GBM              ",,,,,,
GRB 251005A,GRB251005227,0.00000,97,2025-10-05 05:24:50.010,<a href=yr25/GRB251005227.html>details</a>,227.84,5.07,294.0,"Fermi, GBM              ",,,,,,
GRB 251003A,GRB251003082,0.00000,97,2025-10-03 01:56:16.786,<a href=yr25/GRB251003082.html>details</a>,18.5284,56.4908,0.036,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 251002A,GRB251002844,1.00000,97,2025-10-02 20:12:33.024,<a href=yr25/GRB251002844.html>details</a>,13.9059,-5.544,3.9779999999999998,"Swift, XRT              ",1,4,1366.9637985859895,839.8496979035524,,unexamined
GRB 251001B,GRB251001595,1.00000,97,2025-10-01 14:15:00.809,<a href=yr25/GRB251001595.html>details</a>,42.651,-23.0201,0.03,"Swift, XRT              ",2,3,386.2331408514762,1426.8207681739793,,unexamined
GRB 251001A,GRB251001112,0.00000,97,2025-10-01 02:38:38.133,<a href=yr25/GRB251001112.html>details</a>,224.44,-56.23,107.4,"Fermi, GBM              ",,,,,,
GRB 250930A,GRB250930875,0.00000,97,2025-09-30 20:57:45.443,<a href=yr25/GRB250930875.html>details</a>,336.97,-44.97,196.2,"Fermi, GBM              ",,,,,,
GRB 250929A,GRB250929838,0.00000,97,2025-09-29 20:03:55.080,<a href=yr25/GRB250929838.html>details</a>,58.17,-60.18,687.6,"Fermi, GBM              ",,,,,,
GRB 250926B,GRB250926827,0.00000,97,2025-09-26 19:48:19.067,<a href=yr25/GRB250926827.html>details</a>,13.64,-86.18,231.6,"Fermi, GBM              ",,,,,,
GRB 250926A,GRB250926015,0.00000,97,2025-09-26 00:19:05.788,<a href=yr25/GRB250926015.html>details</a>,82.98,-7.02,109.2,"Fermi, GBM              ",,,,,,
GRB 250924B,GRB250924435,0.00000,97,2025-09-24 10:24:42.197,<a href=yr25/GRB250924435.html>details</a>,306.44,-61.82,570.0,"Fermi, GBM              ",,,,,,
GRB 250922B,GRB250922884,0.00000,97,2025-09-22 21:11:08.901,<a href=yr25/GRB250922884.html>details</a>,48.67,30.71,802.1999999999999,"Fermi, GBM              ",,,,,,
GRB 250922A,GRB250922130,0.00000,97,2025-09-22 03:05:10.386,<a href=yr25/GRB250922130.html>details</a>,353.54,0.42,367.8,"Fermi, GBM              ",,,,,,
GRB 250920C,GRB250920643,0.00000,97,2025-09-20 15:23:04.452,<a href=yr25/GRB250920643.html>details</a>,51.4644,-29.6566,0.09,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 250920B,GRB250920366,0.00000,97,2025-09-20 08:44:11.503,<a href=yr25/GRB250920366.html>details</a>,187.337,47.844,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 250920A,GRB250920121,0.00000,97,2025-09-20 02:51:55.750,<a href=yr25/GRB250920121.html>details</a>,175.27,48.96,60.0,"Fermi, GBM              ",,,,,,
GRB 250919A,GRB250919020,0.00000,97,2025-09-19 00:26:34.682,<a href=yr25/GRB250919020.html>details</a>,298.554,-48.8377,0.042,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 250918A,GRB250918522,0.00000,97,2025-09-18 12:30:02.922,<a href=yr25/GRB250918522.html>details</a>,221.78,-15.9,202.79999999999998,"Fermi, GBM              ",,,,,,
GRB 250917B,GRB250917269,0.00000,97,2025-09-17 06:25:33.000,<a href=yr25/GRB250917269.html>details</a>,291.378,11.113,3.0,"Fermi, LAT              ",-1,-1,-1,-1,,
GRB 250917A,GRB250917093,0.00000,97,2025-09-17 02:11:00.933,<a href=yr25/GRB250917093.html>details</a>,313.52,-40.76,684.6,"Fermi, GBM              ",,,,,,
GRB 250916A,GRB250916562,0.00000,97,2025-09-16 13:27:05.838,<a href=yr25/GRB250916562.html>details</a>,26.5708,36.1652,0.06,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 250912A,GRB250912879,0.00000,96,2025-09-12 21:04:05.619,<a href=yr25/GRB250912879.html>details</a>,14.9546,11.1084,6.78,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 250910C,GRB250910993,0.03087,96,2025-09-10 23:47:56.171,<a href=yr25/GRB250910993.html>details</a>,47.58,-35.77,657.0,"Fermi, GBM              ",,,,,,unexamined
GRB 250910B,GRB250910786,0.00823,96,2025-09-10 18:49:46.164,<a href=yr25/GRB250910786.html>details</a>,80.23,-46.36,60.0,"Fermi, GBM              ",,,,,,unexamined
GRB 250909A,GRB250909107,0.00000,96,2025-09-09 02:31:14.481,<a href=yr25/GRB250909107.html>details</a>,78.84,39.52,198.0,"Fermi, GBM              ",,,,,,
GRB 250905B,GRB250905344,0.00018,96,2025-09-05 08:12:28.261,<a href=yr25/GRB250905344.html>details</a>,130.11,-21.39,717.0,"Fermi, GBM              ",,,,,,
GRB 250902B,GRB250902782,0.00000,96,2025-09-02 18:43:17.649,<a href=yr25/GRB250902782.html>details</a>,82.29,-4.96,81.60000000000001,"Fermi, GBM              ",,,,,,
GRB 250902A,GRB250902062,0.00000,96,2025-09-02 01:27:43.530,<a href=yr25/GRB250902062.html>details</a>,159.29,16.26,60.0,"Fermi, GBM              ",,,,,,
GRB 250828A,GRB250828500,0.00128,96,2025-08-28 11:57:50.418,<a href=yr25/GRB250828500.html>details</a>,218.31,-68.26,289.20000000000005,"Fermi, GBM              ",,,,,,
GRB 250827A,GRB250827649,0.64819,96,2025-08-27 15:32:38.679,<a href=yr25/GRB250827649.html>details</a>,346.84,-43.78,434.40000000000003,"Fermi, GBM              ",,,,,,unexamined
GRB 250826A,GRB250826308,0.00000,96,2025-08-26 07:21:50.768,<a href=yr25/GRB250826308.html>details</a>,141.75,34.74,216.0,"Fermi, GBM              ",,,,,,
GRB 250824B,GRB250824568,0.00000,96,2025-08-24 13:36:02.404,<a href=yr25/GRB250824568.html>details</a>,248.34,-35.61,463.8,"Fermi, GBM              ",,,,,,
GRB 250824A,GRB250824475,0.00000,96,2025-08-24 11:22:05.255,<a href=yr25/GRB250824475.html>details</a>,311.95,49.55,119.4,"Fermi, GBM              ",,,,,,
GRB 250823A,GRB250823840,0.00000,96,2025-08-23 20:07:53.450,<a href=yr25/GRB250823840.html>details</a>,297.521,-24.976,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 250821C,GRB250821988,0.00000,96,2025-08-21 23:39:43.440,<a href=yr25/GRB250821988.html>details</a>,104.26,-1.08,900.6,"Fermi, GBM              ",,,,,,
GRB 250821B,GRB250821672,0.29081,96,2025-08-21 16:05:33.183,<a href=yr25/GRB250821672.html>details</a>,39.95,-77.13,60.0,"Fermi, GBM              ",,,,,,unexamined
GRB 250818A,GRB250818063,0.00000,95,2025-08-18 01:29:10.900,<a href=yr25/GRB250818063.html>details</a>,213.833,-58.007,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 250816A,GRB250816063,0.00000,95,2025-08-16 01:27:56.980,<a href=yr25/GRB250816063.html>details</a>,156.7,58.87,182.4,"Fermi, GBM              ",,,,,,
GRB 250815A,GRB250815492,0.00000,95,2025-08-15 11:46:54.321,<a href=yr25/GRB250815492.html>details</a>,221.57,-1.1,467.4,"Swift, XRT              ",,,,,,
GRB 250814B,GRB250814432,0.00000,95,2025-08-14 10:19:52.268,<a href=yr25/GRB250814432.html>details</a>,80.1,24.62,275.4,"Fermi, GBM              ",,,,,,
GRB 250814A,GRB250814316,0.00000,95,2025-08-14 07:32:56.154,<a href=yr25/GRB250814316.html>details</a>,306.329,48.391,1507.0020000000002,"Swift, BAT              ",,,,,,
GRB 250813B,GRB250813952,0.00000,95,2025-08-13 22:48:52.225,<a href=yr25/GRB250813952.html>details</a>,336.728,12.498,2.172,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 250813A,GRB250813074,0.00000,95,2025-08-13 01:43:46.642,<a href=yr25/GRB250813074.html>details</a>,355.9,57.28,183.6,"Fermi, GBM              ",,,,,,
